"filename", "language", "JSON", "XML", "JavaScript", "YAML", "PostCSS", "Markdown", "Handlebars", "HTML", "SCSS", "comment", "blank", "total"
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\msgdata\data.json", "JSON", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\scss\actor\_alien-crt-actor.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 729, 62, 142, 933
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\scss\actor\_alien-crt-ui.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 427, 76, 66, 569
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\scss\alienrpg.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 21, 3, 3, 27
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\scss\components\_forms.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 260, 10, 20, 290
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\scss\components\_items.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 57, 17, 10, 84
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\scss\components\_resource.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 32, 6, 4, 42
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\scss\components\_tabs.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 16, 16, 5, 37
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\scss\global\_flex.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 47, 6, 2, 55
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\scss\global\_grid.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 2483, 140, 120, 2743
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\scss\global\_itemList.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 150, 2, 11, 163
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\scss\global\_module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 852, 60, 73, 985
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\scss\global\_mother-instruction-images.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 618, 0, 15, 633
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\scss\global\_select-css.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 58, 20, 7, 85
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\scss\global\_theme.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 2, 7
